Color,R,G,B
red,128,0,0
red,139,0,0
red,165,42,42
red,178,34,34
red,220,20,60
red,255,0,0
red,255,99,71
red,255,127,80
red,205,92,92
red,240,128,128
orange,233,150,122
orange,250,128,114
orange,255,160,122
orange,255,69,0
orange,255,140,0
orange,255,165,0
yellow,255,215,0
yellow,184,134,11
yellow,218,165,32
yellow,238,232,170
green,189,183,107
green,240,230,140
green,128,128,0
yellow,255,255,0
yellow,154,205,50
green,85,107,47
green,107,142,35
green,124,252,0
green,127,255,0
green,173,255,47
green,0,100,0
green,0,128,0
green,34,139,34
green,0,255,0
green,50,205,50
green,144,238,144
green,152,251,152
green,143,188,143
green,0,250,154
green,0,255,127
green,46,139,87
blue,102,205,170
green,60,179,113
green,32,178,170
gray,47,79,79
green,0,128,128
blue,0,139,139
blue,0,255,255
blue,0,255,255
blue,224,255,255
blue,0,206,209
blue,64,224,208
blue,72,209,204
blue,175,238,238
blue,127,255,212
blue,176,224,230
blue,95,158,160
blue,70,130,180
blue,100,149,237
blue,0,191,255
blue,30,144,255
blue,173,216,230
blue,135,206,235
blue,135,206,250
blue,25,25,112
blue,0,0,128
blue,0,0,139
blue,0,0,205
blue,0,0,255
blue,65,105,225
blue,138,43,226
indigo,75,0,130
indigo,72,61,139
indigo,106,90,205
indigo,123,104,238
indigo,147,112,219
indigo,139,0,139
violet,148,0,211
violet,153,50,204
violet,186,85,211
purple,128,0,128
purple,216,191,216
purple,221,160,221
violet,238,130,238
red,255,0,255
purple,218,112,214
violet,199,21,133
purple,219,112,147
violet,255,20,147
violet,255,105,180
violet,255,182,193
violet,255,192,203
white,250,235,215
gray,245,245,220
orange,255,228,196
white,255,235,205
yellow,245,222,179
blue,255,248,220
yellow,255,250,205
yellow,250,250,210
yellow,255,255,224
black,139,69,19
black,160,82,45
black,210,105,30
black,205,133,63
black,244,164,96
black,222,184,135
black,210,180,140
black,188,143,143
black,255,228,181
white,255,222,173
white,255,218,185
white,255,228,225
white,255,240,245
white,250,240,230
white,253,245,230
white,255,239,213
white,255,245,238
white,245,255,250
gray,112,128,144
gray,119,136,153
gray,176,196,222
violet,230,230,250
white,255,250,240
blue,240,248,255
white,248,248,255
yellow,240,255,240
white,255,255,240
blue,240,255,255
white,255,250,250
black,0,0,0
gray,105,105,105
gray,128,128,128
gray,169,169,169
gray,192,192,192
gray,211,211,211
white,220,220,220
white,245,245,245
white,255,255,255